iter	Passed	Remaining
405	4391	6425
406	4402	6414
407	4416	6407
408	4426	6396
409	4435	6382
410	4443	6368
411	4452	6354
412	4462	6343
413	4472	6330
414	4483	6320
415	4492	6307
416	4502	6294
417	4511	6281
418	4522	6270
419	4532	6259
420	4543	6248
421	4553	6237
422	4562	6223
423	4571	6209
424	4581	6198
425	4590	6185
426	4602	6176
427	4612	6164
428	4621	6150
429	4630	6138
430	4640	6126
431	4650	6115
432	4660	6103
433	4669	6089
434	4679	6077
435	4689	6065
436	4699	6053
437	4707	6040
438	4717	6028
439	4726	6015
440	4735	6002
441	4745	5990
442	4757	5981
443	4767	5969
444	4776	5957
445	4784	5943
446	4795	5932
447	4805	5921
448	4813	5907
449	4824	5896
450	4835	5886
451	4844	5873
452	4854	5862
453	4864	5849
454	4874	5838
455	4883	5825
456	4893	5814
457	4901	5800
458	4913	5790
459	4923	5779
460	4932	5767
461	4942	5755
462	4952	5743
463	4962	5732
464	4973	5721
465	4983	5710
466	4992	5698
467	5003	5687
468	5012	5675
469	5021	5662
470	5029	5648
471	5039	5637
472	5051	5627
473	5061	5616
474	5071	5605
475	5079	5592
476	5090	5581
477	5100	5570
478	5110	5558
479	5118	5544
480	5126	5531
481	5136	5519
482	5144	5506
483	5153	5494
484	5165	5484
485	5175	5473
486	5185	5462
487	5198	5454
488	5210	5444
489	5219	5432
490	5228	5419
491	5237	5407
492	5246	5395
493	5255	5382
494	5265	5371
495	5274	5359
496	5284	5347
497	5293	5335
498	5303	5325
499	5313	5313
500	5322	5301
501	5331	5288
502	5339	5275
503	5348	5263
504	5356	5250
505	5366	5238
506	5374	5226
507	5383	5214
508	5394	5203
509	5404	5192
510	5414	5181
511	5423	5169
512	5433	5158
513	5441	5144
514	5448	5131
515	5457	5119
516	5468	5108
517	5475	5095
518	5484	5082
519	5493	5070
520	5503	5059
521	5511	5047
522	5521	5035
523	5529	5023
524	5538	5010
525	5549	5000
526	5559	4989
527	5570	4979
528	5579	4967
529	5589	4956
530	5600	4946
531	5610	4935
532	5620	4924
533	5629	4912
534	5640	4902
535	5649	4890
536	5660	4880
537	5670	4869
538	5680	4858
539	5690	4847
540	5699	4835
541	5709	4824
542	5718	4812
543	5728	4802
544	5738	4791
545	5750	4781
546	5759	4769
547	5769	4759
548	5780	4748
549	5789	4737
550	5799	4725
551	5809	4714
552	5818	4703
553	5829	4693
554	5838	4681
555	5848	4670
556	5858	4659
557	5868	4648
558	5877	4636
559	5886	4624
560	5894	4612
561	5905	4602
562	5915	4591
563	5924	4579
564	5935	4569
565	5945	4559
566	5956	4548
567	5966	4537
568	5977	4527
569	5986	4516
570	5994	4504
571	6003	4491
572	6013	4481
573	6023	4470
574	6034	4459
575	6043	4448
576	6051	4436
577	6061	4425
578	6071	4414
579	6082	4404
580	6091	4393
581	6101	4382
582	6111	4371
583	6120	4359
584	6130	4348
585	6139	4337
586	6148	4325
587	6159	4315
588	6170	4305
589	6181	4295
590	6191	4285
591	6201	4273
592	6210	4262
593	6219	4251
594	6228	4239
595	6238	4229
596	6248	4217
597	6257	4206
598	6267	4195
599	6277	4185
600	6286	4173
601	6295	4162
602	6305	4151
603	6315	4140
604	6324	4128
605	6332	4117
606	6342	4106
607	6350	4094
608	6360	4083
609	6368	4071
610	6379	4061
611	6388	4049
612	6396	4038
613	6405	4026
614	6413	4015
615	6424	4004
616	6433	3993
617	6442	3982
618	6451	3970
619	6460	3959
620	6470	3948
621	6481	3938
622	6489	3927
623	6500	3916
624	6509	3905
625	6519	3894
626	6529	3884
627	6539	3873
628	6549	3863
629	6558	3851
630	6567	3840
631	6576	3829
632	6584	3817
633	6593	3806
634	6603	3795
635	6612	3784
636	6624	3775
637	6634	3764
638	6644	3754
639	6655	3743
640	6665	3733
641	6674	3721
642	6682	3710
643	6692	3699
644	6702	3689
645	6712	3678
646	6720	3666
647	6729	3655
648	6737	3643
649	6748	3633
650	6758	3623
651	6768	3612
652	6779	3602
653	6788	3591
654	6796	3579
655	6806	3569
656	6814	3557
657	6825	3547
658	6833	3536
659	6845	3526
660	6858	3517
661	6868	3506
662	6877	3495
663	6887	3485
664	6895	3473
665	6904	3462
666	6914	3452
667	6924	3441
668	6933	3430
669	6942	3419
670	6951	3408
671	6960	3397
672	6968	3386
673	6978	3375
674	6988	3364
675	6997	3353
676	7007	3343
677	7016	3332
678	7027	3322
679	7037	3311
680	7046	3300
681	7056	3290
682	7065	3279
683	7074	3268
684	7083	3257
685	7093	3246
686	7101	3235
687	7111	3224
688	7120	3214
689	7130	3203
690	7139	3192
691	7148	3181
692	7157	3170
693	7168	3160
