iter	RMSE
171	18383.23396
172	18345.44151
173	18326.25149
174	18288.17947
175	18250.26285
176	18214.64944
177	18184.4701
178	18155.82528
179	18123.80692
180	18106.11454
181	18078.57849
182	18037.1767
183	17996.24156
184	17973.88681
185	17924.09417
186	17879.78536
187	17848.60395
188	17793.93185
189	17777.67632
190	17746.25325
191	17704.52871
192	17673.2258
193	17630.94929
194	17600.302
195	17566.52574
196	17514.28359
197	17486.81165
198	17453.43949
199	17422.38614
200	17380.1032
201	17365.39244
202	17311.78431
203	17263.15762
204	17247.47873
205	17208.65116
206	17192.75192
207	17171.61225
208	17151.97101
209	17125.37329
210	17106.45397
211	17062.59729
212	17031.0133
213	17023.40217
214	16988.4178
215	16981.65732
216	16957.33779
217	16921.47362
218	16886.26292
219	16858.42323
220	16822.94187
221	16809.93438
222	16800.53998
223	16766.02675
224	16751.02316
225	16743.94748
226	16713.16099
227	16705.55258
228	16670.40323
229	16636.70042
230	16615.82231
231	16563.17539
232	16538.72591
233	16530.28164
234	16516.14939
235	16499.40248
236	16479.52146
237	16451.76935
238	16430.09427
239	16397.25335
240	16367.4113
241	16361.01269
242	16355.68766
243	16339.47559
244	16303.4977
245	16298.39229
246	16249.05604
247	16243.33412
248	16235.51837
249	16221.52422
250	16185.00377
251	16167.96438
252	16142.28704
253	16137.02132
254	16090.56686
255	16087.03666
256	16082.40191
257	16076.86789
258	16053.64912
259	16042.62029
260	15979.78087
261	15949.73584
262	15919.81891
263	15914.98296
264	15875.34313
265	15870.8701
266	15855.08083
267	15816.95996
268	15773.02824
269	15768.65077
270	15753.41576
271	15717.97873
272	15689.36095
273	15653.70419
274	15650.90684
275	15612.45307
276	15608.91015
277	15572.0619
278	15534.34632
279	15531.57465
280	15493.49724
281	15467.36988
282	15464.55502
283	15440.52252
284	15412.82404
285	15376.23279
286	15368.72065
287	15348.41495
288	15309.05831
289	15261.1555
290	15230.40186
291	15209.43281
292	15164.93356
293	15139.4579
294	15091.54904
295	15056.97096
296	15054.33685
297	15039.14691
298	15004.2016
299	14971.42947
300	14946.14048
301	14925.48759
302	14883.9151
303	14851.10295
304	14848.22393
305	14827.32028
306	14824.89052
307	14808.20351
308	14795.0151
309	14785.97669
310	14756.81256
311	14754.78618
312	14717.48364
313	14686.49109
314	14658.95446
315	14625.87672
316	14623.86781
317	14597.82469
318	14595.67029
319	14568.89038
320	14534.34525
321	14507.28518
322	14489.27988
323	14463.05677
324	14445.97906
325	14427.33115
326	14408.21144
327	14371.12283
328	14352.19261
329	14328.66676
330	14301.21411
331	14278.62938
332	14271.96957
333	14238.96918
334	14218.4222
335	14193.26642
336	14188.45073
337	14178.81525
338	14142.35725
339	14140.25352
340	14123.73007
341	14108.24362
342	14092.34945
343	14055.74244
344	14024.1894
345	13986.49054
346	13984.7621
347	13982.09815
348	13952.81181
349	13936.92114
350	13916.31706
351	13879.54318
352	13863.25169
353	13858.58598
354	13823.49872
355	13789.21817
356	13754.58597
357	13743.83416
358	13741.39241
359	13720.61103
360	13717.24939
361	13712.94864
362	13682.5466
363	13678.17885
364	13672.62482
365	13650.84743
366	13637.48741
367	13608.34645
368	13585.69844
369	13554.77139
370	13552.0189
371	13550.01504
372	13542.94357
373	13538.27145
374	13516.29155
375	13488.81567
376	13472.23626
377	13469.16297
378	13445.98659
379	13391.06203
380	13360.36611
381	13322.43266
382	13292.0495
383	13259.447
384	13236.47327
385	13208.38842
386	13178.22639
387	13176.13709
388	13159.40942
389	13149.51942
390	13126.0524
391	13121.76259
392	13088.95512
393	13075.86946
394	13074.37194
395	13037.63038
396	13014.17635
397	12996.65314
398	12974.62145
399	12947.74935
400	12919.72871
401	12896.4916
402	12872.1217
403	12851.04109
404	12837.76642
405	12835.73037
406	12799.6799
407	12779.54363
408	12756.56301
409	12754.99505
410	12723.99368
411	12709.75539
412	12691.5243
413	12670.14874
414	12668.64454
415	12651.35271
416	12639.35759
417	12637.52057
418	12621.18394
419	12619.91389
420	12594.94577
421	12581.53771
422	12566.65742
423	12550.26003
424	12523.46802
425	12504.14214
426	12493.63091
427	12454.17559
428	12417.60397
429	12394.31851
430	12382.80987
431	12358.36044
432	12329.98699
433	12314.29588
434	12283.37069
435	12256.67414
436	12253.42611
437	12242.2081
438	12228.28386
439	12225.15443
440	12195.04728
441	12162.92152
442	12161.00853
443	12147.37866
444	12134.10749
445	12121.34857
446	12088.45335
447	12058.72144
448	12056.60344
449	12039.93789
450	12001.39636
451	11988.64919
452	11987.07705
453	11958.71431
454	11956.46068
455	11940.11138
456	11931.02172
457	11908.82463
458	11906.80056
459	11872.1843
460	11851.76817
461	11832.50039
462	11814.78882
463	11796.47801
464	11772.22747
465	11757.58998
466	11737.29871
467	11719.01187
468	11687.48651
469	11685.32003
470	11670.75908
471	11651.18844
472	11631.50772
473	11618.19364
474	11574.21426
475	11546.20945
476	11521.7462
477	11492.0639
478	11469.96442
479	11446.04465
480	11444.49257
481	11440.4571
482	11418.95517
483	11392.37983
484	11356.09871
485	11334.54443
486	11319.07129
487	11303.11717
488	11284.41892
489	11256.29491
490	11235.40802
491	11215.84686
492	11214.44838
493	11204.6156
494	11176.50761
495	11155.28244
496	11139.23051
497	11130.78591
498	11123.16692
499	11109.7233
500	11070.34535
501	11056.14389
502	11047.96737
503	11026.53459
504	10998.82317
505	10984.00068
506	10966.82552
507	10935.8774
508	10915.97789
509	10894.83423
510	10873.02146
511	10861.92904
512	10842.2747
513	10820.91349
514	10801.83184
515	10785.15722
516	10781.58961
517	10761.71399
518	10746.52959
519	10731.45795
520	10711.634
521	10701.43796
522	10680.0402
523	10660.52181
524	10640.374
525	10616.46437
526	10605.75237
527	10588.53285
528	10587.48025
529	10573.71247
530	10560.11278
531	10541.58484
532	10527.80486
533	10503.83732
534	10475.02396
535	10449.20593
536	10433.89587
537	10399.65111
538	10398.69054
539	10379.93353
540	10378.84941
541	10364.00756
542	10332.67455
543	10316.99171
544	10297.20963
545	10280.13921
546	10265.65697
547	10250.22665
548	10238.28062
549	10222.65905
550	10190.15579
551	10185.39121
552	10164.17529
553	10133.7051
554	10105.72187
555	10086.38506
556	10068.28847
557	10061.18823
558	10046.04211
559	10024.53285
560	10004.20952
561	9990.701766
562	9975.04602
563	9952.022047
564	9931.298271
565	9919.817503
566	9900.994561
567	9878.001369
568	9858.299613
569	9851.491768
570	9849.50171
571	9831.703861
572	9814.024734
573	9800.365052
574	9779.228885
575	9760.157396
576	9739.066032
577	9728.945394
578	9712.150194
579	9706.961294
580	9693.980236
581	9693.287101
582	9684.512956
583	9660.649607
584	9647.930621
585	9639.221555
586	9625.765595
587	9599.23344
588	9567.172731
589	9551.666966
590	9531.430342
591	9510.612997
592	9501.433251
593	9491.356538
594	9466.46274
595	9449.274969
596	9425.053114
597	9411.512799
598	9403.214909
599	9391.055891
600	9381.568267
601	9368.053744
602	9349.704525
603	9344.847922
604	9337.441537
605	9321.274237
606	9305.225434
607	9296.077215
608	9279.228099
609	9261.506991
610	9244.436314
611	9233.435572
612	9224.222957
613	9219.120541
614	9212.038711
615	9203.651038
616	9181.635357
617	9167.377231
618	9153.130513
619	9139.216801
620	9125.087989
621	9109.115792
622	9091.233319
623	9087.166329
624	9080.429675
625	9055.6958
626	9048.684758
627	9023.452625
628	9013.032964
629	9003.9224
630	8999.291428
631	8985.84861
632	8975.602171
633	8963.077785
634	8948.464988
635	8942.0017
636	8936.841954
637	8926.611447
638	8910.133154
639	8893.429544
640	8879.056444
641	8870.25901
642	8860.277709
643	8853.238704
644	8845.291386
645	8831.872565
646	8818.335403
647	8794.16392
648	8775.989845
649	8763.955738
650	8763.221016
651	8743.341697
652	8728.083777
653	8715.770517
654	8705.877031
655	8694.948559
656	8674.783613
657	8661.00024
658	8649.117222
659	8628.398909
660	8621.439609
661	8611.908779
662	8591.774202
663	8577.196047
664	8561.814514
665	8550.55915
666	8542.524947
667	8530.317836
668	8519.374067
669	8503.432462
670	8494.985673
671	8477.725976
672	8468.63854
673	8461.629966
674	8439.845931
675	8422.803707
676	8408.64054
677	8402.954581
678	8390.780705
679	8383.822897
680	8367.864901
681	8359.462893
682	8340.810292
683	8328.520113
684	8313.850806
685	8305.668433
686	8286.857034
687	8276.354958
688	8266.231007
689	8256.611055
690	8251.980725
691	8238.095011
692	8223.335401
693	8209.511889
694	8194.129729
695	8180.679446
696	8168.340684
697	8138.351535
698	8128.190719
699	8111.896763
700	8107.613079
701	8090.673748
702	8090.190201
703	8084.053976
704	8075.72343
705	8063.558516
706	8053.337093
707	8046.34936
708	8034.472173
709	8023.031648
710	8011.174865
711	7995.794391
712	7995.252688
713	7983.526314
714	7977.874398
715	7961.406767
716	7952.613807
717	7942.779741
718	7930.096127
719	7918.029239
720	7894.523592
721	7887.634062
722	7871.947471
723	7854.157265
724	7843.534389
725	7838.42058
726	7828.348103
727	7812.045564
728	7802.88703
729	7788.832588
730	7774.593788
731	7766.896344
732	7752.26034
733	7746.075915
734	7745.54919
735	7730.171426
736	7715.461631
737	7707.49938
738	7699.873605
739	7693.977186
740	7679.645172
741	7667.269657
742	7657.354774
743	7650.212032
744	7638.515862
745	7628.464317
746	7617.738781
747	7607.204318
748	7595.770613
749	7585.672329
750	7577.94611
751	7577.301163
752	7569.370808
753	7552.589612
754	7541.387488
755	7527.353482
756	7518.856611
757	7508.252056
758	7496.014928
759	7488.30764
760	7473.843482
761	7464.118429
762	7452.530072
763	7441.562133
764	7430.210748
765	7425.205588
766	7421.507911
767	7411.685604
768	7407.451023
769	7396.185648
770	7384.191015
771	7373.202697
772	7367.040872
773	7358.200316
774	7357.591897
775	7346.25111
776	7338.783534
777	7329.265803
778	7323.458897
779	7318.772209
780	7305.225788
781	7297.052346
782	7288.04883
783	7274.781538
784	7266.193852
785	7258.542448
786	7252.364522
787	7244.683723
788	7239.158147
789	7232.81354
790	7229.881849
791	7213.056244
792	7203.761225
793	7192.012636
794	7184.179176
795	7175.821671
796	7172.658467
797	7158.787945
798	7154.049124
799	7139.358163
800	7129.412565
801	7125.709384
802	7115.888441
803	7107.599593
804	7092.064562
805	7084.262123
806	7068.726474
807	7060.222357
808	7049.812857
809	7042.26428
810	7033.126971
811	7029.449882
812	7018.117119
813	7017.603252
814	7003.031417
815	7000.636699
816	6994.531357
817	6983.24727
818	6976.691761
819	6967.874136
820	6951.911384
821	6951.432084
822	6938.782733
823	6928.855493
824	6922.051602
825	6917.272634
826	6915.136004
827	6903.437524
828	6899.049125
829	6892.264777
830	6880.307612
831	6874.06824
832	6867.16551
833	6854.443084
834	6848.637649
835	6843.583546
836	6839.452586
837	6832.058966
838	6825.391418
839	6813.300607
840	6794.530773
841	6783.576431
842	6767.692633
843	6753.756999
844	6747.556814
845	6747.245895
846	6741.253342
847	6722.361767
848	6713.811764
849	6707.771798
850	6692.483933
851	6682.639999
852	6673.506274
853	6673.190169
854	6660.592662
855	6652.67499
856	6643.447458
857	6638.990066
858	6627.309799
859	6622.041003
860	6615.236399
861	6610.648767
862	6608.705779
863	6601.471102
864	6590.937734
865	6586.520828
866	6580.223787
867	6566.767318
868	6559.763792
869	6550.069847
870	6542.959647
871	6537.566094
872	6528.050679
873	6520.787532
874	6506.921155
875	6498.383322
876	6488.303516
877	6476.95532
878	6463.610569
879	6454.590692
880	6443.136655
881	6430.984054
882	6422.305245
883	6413.646628
884	6401.477704
885	6394.657584
886	6393.759027
887	6383.0048
888	6376.780657
889	6375.031
890	6357.628177
891	6345.281467
892	6335.261754
893	6328.764719
894	6325.13258
895	6320.494418
896	6314.854436
897	6306.436298
898	6297.991705
899	6294.411213
900	6285.608205
901	6277.236543
902	6269.207757
903	6261.931017
904	6246.621263
905	6234.793312
906	6227.376792
907	6216.017198
908	6212.394668
909	6210.191116
910	6198.759597
911	6194.896882
912	6187.55838
913	6176.315936
914	6157.893664
915	6150.430046
916	6139.439385
917	6133.082952
918	6121.700708
919	6117.032309
920	6105.806835
921	6096.560604
922	6090.887262
923	6079.494355
924	6074.720552
925	6067.967593
926	6061.71207
927	6054.649737
928	6043.495545
929	6039.626501
930	6035.697385
931	6027.744794
932	6020.526432
933	6014.697658
934	6009.2544
935	5998.373653
936	5993.316024
937	5982.843511
938	5974.878112
939	5969.724456
940	5958.550192
941	5951.727022
942	5943.045466
943	5933.167074
944	5924.962001
945	5914.090817
946	5907.070929
947	5900.50149
948	5897.946797
949	5887.835924
950	5885.011402
951	5873.834697
952	5864.128383
953	5858.555149
954	5851.868803
955	5847.400978
956	5841.256312
957	5836.495849
958	5827.307062
959	5819.258338
960	5815.524804
961	5810.95544
962	5802.810163
963	5794.556717
964	5785.552906
965	5777.233516
966	5772.899358
967	5769.393061
968	5763.614692
969	5757.830214
970	5754.349198
971	5744.839858
972	5736.223689
973	5732.939949
974	5722.359696
975	5713.040666
976	5704.717559
977	5692.638097
978	5681.896567
979	5679.027441
980	5667.69699
981	5659.465675
982	5649.976699
983	5641.06504
984	5633.367823
985	5630.13835
986	5626.295519
987	5623.216639
988	5619.474871
989	5607.614428
990	5601.834329
991	5599.82945
992	5592.285372
993	5589.660798
994	5579.225738
995	5574.282059
996	5566.718465
997	5560.615758
998	5554.618989
999	5551.444646
